id,unix_time,gps_x_dec,gps_y_dec,wojewodztwo,miejscowosc,ulica,predkosc_dopuszczalna,rodzaj_nawierzchni,warunki_atmosferyczne,obszar_zabudowany,czy_sygnalizacja_swietlna
106651735,1514823900.0,15.0965,52.808611111111105,WOJ. LUBUSKIE,,,120,01,01,02,03
106651547,1514805720.0,15.088222222222223,52.0805,WOJ. LUBUSKIE,KROSNO ODRZAŃSKIE,,90,01,01,02,03
106650053,1514774280.0,14.660222222222222,52.598111111111116,WOJ. LUBUSKIE,KOSTRZYN NAD ODRĄ,PROSTA,50,01,01,01,03
106650114,1514766600.0,15.21561111111111,52.73425,WOJ. LUBUSKIE,GORZÓW WIELKOPOLSKI,GROTTGERA,50,01,04,01,03
106651434,1514768340.0,15.360305555555556,51.83361111111111,WOJ. LUBUSKIE,,,90,01,05,02,03
106650088,1514785260.0,15.834111111111111,52.35627777777778,WOJ. LUBUSKIE,,,90,01,04,02,03
106651760,1514846400.0,15.677027777777777,52.85675,WOJ. LUBUSKIE,STARE KUROWO,KOŚCIUSZKI,50,01,01,01,03
106651489,1514765640.0,15.218583333333333,51.85669444444444,WOJ. LUBUSKIE,WITOSZYN,,90,01,01,02,03
106650164,1514829600.0,15.543333333333333,52.85444444444445,WOJ. LUBUSKIE,,,90,01,01,02,03
106658712,1514774400.0,15.517777777777779,51.93505555555555,WOJ. LUBUSKIE,ZIELONA GÓRA,WROCŁAWSKA,60,01,01,01,02
106650194,1514836800.0,15.238277777777776,52.672916666666666,WOJ. LUBUSKIE,,,90,01,04,02,03
106657759,1514915400.0,15.24186111111111,52.55591666666666,WOJ. LUBUSKIE,,,90,01,01,02,03
106652229,1514890020.0,15.206194444444444,52.590611111111116,WOJ. LUBUSKIE,,,70,01,05,02,03
106650299,1514876100.0,15.52588888888889,52.87444444444444,WOJ. LUBUSKIE,STRZELCE KRAJEŃSKIE,GORZOWSKA,50,01,05,01,03
106652565,1514890500.0,15.705138888888888,51.799861111111106,WOJ. LUBUSKIE,NOWA SÓL,PRZYSZŁOŚCI,50,01,05,01,03
106651865,1514875980.0,15.132194444444444,51.63280555555556,WOJ. LUBUSKIE,ŻARY,OKRZEI,50,01,01,01,03
